"","orig.ident","nCount_WF","nFeature_WF","cType","area.cType$X3"
"75","SeuratProject",0.370080142742548,37,"PV","VIS_PV"
"76","SeuratProject",0.280590674143102,39,"PV","VIS_PV"
"77","SeuratProject",0.252741306109935,38,"PV","VIS_PV"
"78","SeuratProject",-0.202343133515707,39,"PV","VIS_PV"
"79","SeuratProject",-0.450309516147176,36,"PV","VIS_PV"
"80","SeuratProject",0.33109983465345,37,"PV","VIS_PV"
"81","SeuratProject",0.502203272594421,37,"PV","VIS_PV"
"82","SeuratProject",0.341231640888355,36,"PV","VIS_PV"
"83","SeuratProject",0.247560655702396,38,"PV","VIS_PV"
"84","SeuratProject",0.2921937248867,36,"PV","VIS_PV"
"85","SeuratProject",0.254779291740478,38,"PV","VIS_PV"
"86","SeuratProject",-0.387661604026199,31,"PV","VIS_PV"
"87","SeuratProject",0.340528346827817,34,"PV","VIS_PV"
"88","SeuratProject",0.299336549957557,35,"PV","VIS_PV"
"89","SeuratProject",0.338084071108046,38,"PV","VIS_PV"
"90","SeuratProject",0.535301478888645,32,"PV","VIS_PV"
"91","SeuratProject",0.0749258690334563,34,"PV","VIS_PV"
"92","SeuratProject",0.349766506692785,37,"PV","VIS_PV"
"93","SeuratProject",-0.408931714837356,31,"PV","VIS_PV"
"94","SeuratProject",0.411787372566736,38,"PV","VIS_PV"
"95","SeuratProject",0.417000184240203,38,"PV","VIS_PV"
"96","SeuratProject",-0.162053268624534,35,"PV","VIS_PV"
"97","SeuratProject",0.307797342252879,36,"PV","VIS_PV"
"98","SeuratProject",0.3901053694091,35,"PV","VIS_PV"
"99","SeuratProject",-0.329043851199567,30,"PV","VIS_PV"
"100","SeuratProject",0.228201461493059,37,"PV","VIS_PV"
"101","SeuratProject",0.558633339639089,36,"PV","VIS_PV"
"102","SeuratProject",0.37285261685043,34,"PV","VIS_PV"
"103","SeuratProject",0.402523590765443,36,"PV","VIS_PV"
"104","SeuratProject",0.389314789768953,32,"PV","VIS_PV"
"105","SeuratProject",0.367194858466922,38,"PV","VIS_PV"
"106","SeuratProject",0.39747031964756,34,"PV","VIS_PV"
"107","SeuratProject",0.588986552068384,35,"PV","VIS_PV"
"108","SeuratProject",-1.44468490839858,31,"Juxt","HIP_Juxt"
"109","SeuratProject",0.208715326034987,29,"Juxt","HIP_Juxt"
"110","SeuratProject",-1.58996758022169,26,"Juxt","HIP_Juxt"
"111","SeuratProject",-1.22739955975841,27,"Juxt","HIP_Juxt"
"112","SeuratProject",-1.67021109172975,28,"Juxt","HIP_Juxt"
"113","SeuratProject",-3.33394689989048,23,"Juxt","HIP_Juxt"
"114","SeuratProject",-1.03368280829319,27,"Juxt","HIP_Juxt"
