0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label,label_name
-0.3731731,1.641796,-0.72672,-0.22225516,1.0725605,-0.5177835,-0.85404336,-0.797094,1.507028,-0.73031545,1.1955087,2.1733193,-0.89007455,0.3001863,-0.19967833,0.029012546,-0.48766544,-0.40407148,-0.70008504,-1.0164517,0,PV
-0.5432495,1.2662544,-1.2273763,0.7803626,1.0791293,0.09861745,-1.2104836,-0.9568241,1.1237401,-0.4101711,-1.0370021,0.13074933,0.32520175,1.3614709,-1.485854,-1.3250592,0.567608,1.2810711,0.13977908,0.042035338,0,PV
-0.5214958,1.5309775,-1.1168618,0.56263286,1.0214489,-0.06938744,-1.211006,-0.9097421,1.1388233,-0.42538896,0.7647705,2.1691074,-0.5913229,0.91291577,-0.82494634,-0.5609743,-0.27955395,0.054442793,-0.6001972,-1.0442413,0,PV
1.2700032,1.0326273,0.02326089,0.6511154,0.8066324,0.37166178,-1.7817454,-0.95712894,-0.79080087,-0.62562984,1.0011967,2.157369,-0.7164067,0.7532707,-0.6155959,-0.36990744,-0.35971826,-0.11988626,-0.63479054,-1.0955323,0,PV
-0.55085814,1.4175558,-1.1722937,0.6906554,1.0463703,0.008660979,-1.2120333,-0.94068813,1.1089793,-0.39634955,1.093735,2.186145,-0.7565752,0.571349,-0.46361405,-0.23741773,-0.39754012,-0.23549221,-0.66695255,-1.0936375,0,PV
-0.5391968,1.2809888,-1.2291669,0.73978263,1.076838,0.11529266,-1.2255845,-0.9522539,1.1281034,-0.39480296,1.1756548,2.1843307,-0.817897,0.35639656,-0.250515,-0.03060499,-0.486871,-0.37338606,-0.6959438,-1.0611637,0,PV
-0.4379019,1.6599545,-0.9375172,0.27431116,1.2664175,-0.15404834,-1.2210721,-0.87952673,0.9611139,-0.5317329,1.1981863,2.1714792,-0.89972156,0.2920004,-0.19244844,0.03782313,-0.48829627,-0.4086917,-0.70069695,-1.0096333,0,PV
0.7843076,1.4480413,-0.31461707,0.47594288,1.0776631,0.16879562,-1.8119769,-1.0203998,-0.15693222,-0.6508299,-1.0160463,-0.51356715,0.5048939,1.1552104,-1.4577055,-1.3281392,0.8004843,1.1516649,0.4266177,0.27658674,0,PV
-0.5484621,1.3187456,-1.2059804,0.7461574,1.068969,0.075802185,-1.2214572,-0.95322293,1.1150795,-0.3956313,-0.1669045,1.3356292,-0.22878172,1.3924398,-1.4828957,-1.2962358,0.29487565,0.9379829,-0.24805045,-0.5380597,0,PV
-0.5629303,1.5506237,-1.1125466,0.5628206,1.0125787,-0.028087618,-1.2558607,-0.9159955,1.0821632,-0.33276546,1.1696665,2.184381,-0.79316187,0.3818955,-0.26995632,-0.04801617,-0.49354914,-0.36314034,-0.69479126,-1.0733272,0,PV
-0.5070957,1.6131222,-1.0719832,0.48886722,0.9977283,-0.1185417,-1.2111175,-0.8943792,1.1355788,-0.43217903,1.1974739,2.1720433,-0.8965633,0.29436532,-0.19457826,0.035318658,-0.48842546,-0.40745082,-0.7006272,-1.0115559,0,PV
0.91756576,1.3543979,-0.23286928,0.52993387,1.0221808,0.22779603,-1.8259137,-1.013085,-0.3297224,-0.6502749,0.6301816,2.219363,-0.58122694,0.90409744,-0.87212783,-0.6243407,-0.22561999,0.1096186,-0.5654529,-0.99449277,0,PV
-0.5350218,1.2794518,-1.2372414,0.7464155,1.0727617,0.12677224,-1.2188779,-0.95442444,1.1236445,-0.40348163,0.9906729,2.1718845,-0.6931896,0.73733556,-0.60422945,-0.3554934,-0.37663746,-0.12844457,-0.636022,-1.1058767,0,PV
0.41463923,1.5817442,-0.54180574,0.4389053,1.2020116,0.07095679,-1.7113552,-1.0048167,0.19338824,-0.6436685,0.87045765,2.1597075,-0.635271,0.85759956,-0.74059427,-0.48618767,-0.3119787,-0.010386257,-0.6215373,-1.0818106,0,PV
-0.53875786,1.2749354,-1.2344729,0.7575778,1.0743399,0.12172096,-1.2182885,-0.9549184,1.1217065,-0.40384302,0.99453133,2.1461058,-0.69977033,0.77977353,-0.64798915,-0.40379074,-0.34256184,-0.10080538,-0.63004583,-1.0954485,0,PV
-0.49718642,1.5975418,-1.0541042,0.47376004,1.01502,-0.12824744,-1.2200186,-0.89293426,1.1541008,-0.44793156,-0.8507806,0.38506743,0.23883468,1.4267391,-1.5175122,-1.3499945,0.52431196,1.2682312,0.03457725,-0.15947412,0,PV
-0.4852784,1.5843987,-1.004184,0.35809383,1.2249845,-0.12344213,-1.2118218,-0.8805228,1.0477664,-0.5099967,-0.7218047,0.50132555,0.16316034,1.4653889,-1.5215963,-1.3587723,0.5110666,1.2531292,-0.050966255,-0.2409306,0,PV
