,embeddings
164,"[-0.14021364 -0.24520703  1.0067612  -0.92762697 -1.3429922   0.12084725
  0.12139758  1.0425793  -1.2425181   1.6069729 ]"
165,"[-0.15039577 -0.23627557  1.0034319  -0.971625   -1.2295213  -0.32540688
  0.19725509  1.1200556  -1.0973258   1.6898086 ]"
166,"[-0.29884538 -0.26457006  1.0351747  -0.947667   -1.1049161  -0.9992605
  0.11985333  1.880092   -0.39340785  0.9735471 ]"
167,"[-0.5048495  -0.37350172  0.9403158  -0.88969463 -0.9497878  -1.0850284
  0.0520201   2.1320846   0.5287685   0.14967304]"
168,"[-0.15739046 -0.24205561  1.0033886  -0.9726596  -1.3108535   0.05756203
  0.14195804  1.0696975  -1.2078931   1.6182464 ]"
169,"[-0.20051658 -0.23428822  1.1237938  -0.92112565 -1.2385675  -0.46067756
  0.12841022  1.2467805  -1.010628    1.5668197 ]"
170,"[-0.2115323  -0.22069508  1.1275971  -0.95690125 -1.1889902  -0.5122927
  0.140677    1.3374128  -1.0061023   1.4908273 ]"
171,"[-0.2865716  -0.20960069  1.2379037  -0.894884   -1.1391641  -0.8272856
  0.06193025  1.5125865  -0.75661075  1.301696  ]"
172,"[-0.47291958 -0.49426135  0.31448638 -0.95837176 -0.8312639  -1.3686718
  0.4502484   1.9164685   0.59593356  0.8483517 ]"
173,"[-0.13534503 -0.2362959   0.98895663 -0.9968457  -1.2835375  -0.03146859
  0.17508616  1.031017   -1.1862928   1.6747264 ]"
174,"[-0.15299784 -0.23063129  0.91364497 -1.021234   -1.1755099  -0.4521145
  0.2659148   1.1295992  -1.0259944   1.7493237 ]"
175,"[-0.5645884  -0.319252    1.1989535  -0.6331338  -0.6788477  -0.79524124
 -0.3835495   2.2470436   0.43804988 -0.5094344 ]"
176,"[ 0.49553302 -0.1647942  -0.7086209  -1.4613098  -1.5266396  -0.13616696
  0.51448756  0.5455871   0.9073623   1.5345622 ]"
177,"[-0.12125333 -0.23624918  0.9856144  -1.0352191  -1.3088775   0.04988395
  0.18707706  1.1543933  -1.2070655   1.531696  ]"
178,"[-0.44524622  0.3245597  -1.1469089  -0.5354466   1.4876429   0.7140053
 -0.28922197 -1.0989839   1.6328598  -0.6432601 ]"
179,"[-0.49835768 -0.17166951  1.5205024  -0.4433764  -1.1260047  -0.951211
 -0.51096004  1.9270613   0.2575124  -0.00349678]"
180,"[-0.3185859   0.2531192  -1.111972   -0.57501364  2.3066     -0.24153592
  0.3011489  -1.0692979   0.752517   -0.29698   ]"
181,"[-0.5674511  -0.21012965  1.4185402  -0.4992809  -1.6832294  -0.01269362
 -0.6487168   1.3331616  -0.2588059   1.1286054 ]"
182,"[-0.3048852  -0.22339875  1.1820041  -0.8542599  -1.1740946  -0.6277341
  0.05752406  1.5092081  -0.91835785  1.3539932 ]"
183,"[-0.1971162  -0.22012135  1.1571031  -0.7590085  -1.4318768   0.48916256
 -0.08922207  0.95879745 -1.3280212   1.4203047 ]"
184,"[-0.10705121 -0.22693624  0.8534737  -1.0891609  -1.240715   -0.3001468
  0.26455736  1.2542745  -1.0410533   1.6327589 ]"
185,"[-0.1379051  -0.46688968  1.1545596  -0.24911837 -0.88634706 -1.2995627
 -0.35224137  2.178455   -0.07528582  0.13433532]"
186,"[-0.19056594 -0.23535839  1.0483994  -0.9643597  -1.2487941  -0.19452268
  0.15673204  1.1554588  -1.1437688   1.6167799 ]"
187,"[-0.11164437 -0.24007592  0.893119   -0.9944282  -1.3125142   0.16061084
  0.1863293   0.8907429  -1.2239208   1.751781  ]"
