,embeddings
128,"[ 1.0938644   1.9155124  -0.9056391  -0.7718704   0.78479826  0.5335122
 -0.50864726 -0.8514816  -0.6759034  -0.6141456 ]"
129,"[ 1.2019122   1.8138173  -0.8879545  -0.7198658   0.74256337  0.6126236
 -0.40685534 -0.8874515  -0.7470879  -0.7217023 ]"
130,"[ 1.1092861   1.8385435  -0.95999074 -0.78226554  0.81625277  0.6053341
 -0.47556102 -0.88185954 -0.715703   -0.5540369 ]"
131,"[ 0.78561425  2.0689337  -0.78019613 -0.6854423   0.78189725  0.6452963
 -0.6719081  -0.8042585  -0.67222995 -0.6677061 ]"
132,"[-0.91471606 -1.1940726   1.3945513   1.5257397  -0.77702695 -0.6309854
 -0.22217236  1.1628772  -0.1401767  -0.20401788]"
133,"[ 1.195926    1.7874869  -0.93218374 -0.67352813  0.8317795   0.54277694
 -0.33965117 -0.87636274 -0.735071   -0.80117285]"
134,"[ 1.1583246   1.838975   -0.9167492  -0.78828734  0.72933227  0.63700044
 -0.44275764 -0.9013925  -0.704702   -0.6097428 ]"
135,"[ 1.1748613   1.7942355  -0.91258895 -0.69263977  0.7875645   0.64719707
 -0.4523999  -0.85900664 -0.7548963  -0.73232687]"
136,"[ 1.0596491   1.8051692  -0.9221182  -0.7984168   0.8457459   0.7145431
 -0.5367193  -0.87266505 -0.7384541  -0.5567337 ]"
137,"[-0.88063395 -1.1950048   1.3769307   1.5313305  -0.764066   -0.6627657
 -0.20948324  1.1868117  -0.13373925 -0.24937977]"
138,"[ 1.0867515   1.8603797  -0.93249464 -0.7995391   0.7571014   0.66594255
 -0.565148   -0.8880892  -0.69821894 -0.48668563]"
139,"[ 1.2815683   1.761065   -0.91182345 -0.7012327   0.7433344   0.56938237
 -0.34011227 -0.8847121  -0.7013294  -0.81614107]"
140,"[ 1.182508    1.6756545  -0.96766806 -0.8983312   0.88083494  0.688305
 -0.49260622 -0.95572424 -0.6692225  -0.4437502 ]"
141,"[ 1.4428599   1.6678692  -1.0062838  -0.7497837   0.64726377  0.50674963
 -0.18639983 -0.95741594 -0.72133625 -0.64352363]"
142,"[ 0.91345036  1.9456197  -0.80765355 -0.6956458   0.8336579   0.6855116
 -0.6499981  -0.8064521  -0.7017232  -0.716767  ]"
143,"[ 0.9892393   1.9115477  -0.8215757  -0.68803275  0.7852938   0.703712
 -0.5931577  -0.8460047  -0.7458698  -0.69515175]"
