,embeddings
58,"[-0.24882255 -0.2205363   0.979936   -0.9314343  -1.075446   -0.91314095
  0.21805723  1.3873756  -0.77604735  1.5800589  -1.0022908  -1.056446
  1.4200063   1.3606939  -0.9047586  -0.79474956 -0.15978557  1.2372117
 -0.04943661 -0.05044472]"
59,"[-0.17271839 -0.22459216  0.928947   -1.0125908  -1.1614152  -0.45785123
  0.24497108  1.108401   -1.02398     1.7708281   1.2941058   1.6718001
 -0.9165967  -0.7573838   0.7436455   0.6980438  -0.3215146  -0.9523068
 -0.7466677  -0.713126  ]"
60,"[-0.20210212 -0.12553465 -0.5728409  -0.72039634 -0.71765447 -0.78462887
 -0.12074035  0.8948183   2.4766998  -0.12762083  1.2627532   1.737736
 -0.88620174 -0.7068372   0.7866704   0.6204091  -0.4178699  -0.86926013
 -0.75154674 -0.7758526 ]"
61,"[-0.13164245 -0.23168047  0.99297476 -1.0702906  -1.2418823  -0.5295643
  0.21040088  1.4520186  -0.88082     1.4304867  -0.65801376 -1.3508825
  1.3097136   1.6048586  -0.58268356 -0.613647   -0.23527499  1.1795739
 -0.13348773 -0.52015644]"
62,"[-0.3275708  -0.21444725  1.2519608  -0.85557973 -1.1532553  -0.79351467
  0.01818756  1.6325629  -0.7342898   1.175946    1.0760024   1.8106124
 -0.9166728  -0.7898161   0.7979496   0.7418906  -0.56734663 -0.8697905
 -0.71702707 -0.56580245]"
63,"[-0.17985025 -0.23107906  1.0260705  -0.9847056  -1.2611586  -0.12930542
  0.16246209  1.120089   -1.155816    1.633293    1.2294133   1.8116755
 -0.9246258  -0.7873496   0.7492647   0.55251914 -0.3868296  -0.90390325
 -0.6615311  -0.67863464]"
64,"[-0.24812458 -0.23768212  0.90249765 -0.9925409  -1.133929   -0.99792403
  0.2155168   1.2357846  -0.4758298   1.7322323  -1.0084761  -0.9321555
  1.4296229   1.1853093  -0.98838043 -0.9476168  -0.1117149   1.3330718
  0.01600174  0.02433777]"
65,"[-0.06568494  0.15377396 -0.86520195 -0.4556544   0.70636964 -0.70257986
  0.2556948  -0.86258864  2.4226975  -0.5868261  -0.98655266 -1.1185807
  1.2969803   1.5845543  -0.8243776  -0.66714066 -0.19317213  1.1761204
 -0.10740978 -0.16042125]"
66,"[-0.20897841 -0.22422318  1.064436   -0.95555013 -1.1835008  -0.46767905
  0.17119148  1.2295225  -1.041958    1.6167395  -1.0082282  -0.8767591
  1.4058744   1.1058885  -1.02626    -1.0261614  -0.08113154  1.3761357
  0.05494348  0.07569832]"
67,"[-0.19956033 -0.23877154  1.1177913  -0.9230663  -1.2840301  -0.08731479
  0.10907812  1.1438849  -1.190029    1.5520176   0.8256576   1.9775063
 -0.92560846 -0.7713772   0.77280974  0.70639235 -0.7356431  -0.85939485
 -0.70687824 -0.28346434]"
68,"[-0.45603266 -0.43402892  0.75194114 -0.8579986  -0.7650277  -1.3648001
 -0.16243999  1.9544032   0.42378896  0.9101945   1.2552454   1.7238647
 -0.91772944 -0.6827609   0.81934124  0.6019429  -0.38644573 -0.89182585
 -0.6966731  -0.82495946]"
69,"[-0.17686915 -0.23489572  0.9822364  -0.98325473 -1.2296453  -0.2712712
  0.19831882  1.138056   -1.1069007   1.684226   -0.749036   -1.3623909
  1.3109103   1.5929052  -0.6434221  -0.5727437  -0.239954    1.1724796
 -0.14649326 -0.3622554 ]"
70,"[-0.0723597  -0.42470068 -0.33452842 -0.95207924 -0.8464896  -1.2562566
  0.6280777   1.181513    1.9199594   0.15686397  0.87723875  1.9420087
 -0.80544347 -0.7397672   0.80962723  0.74963635 -0.6436063  -0.85508823
 -0.7366485  -0.59795755]"
71,"[-0.43213415 -0.2390831   1.1947335  -0.8766532  -1.0377314  -0.92366594
 -0.00370045  1.8734113  -0.492266    0.9370894   1.1239989   1.8507882
 -0.90647084 -0.7732847   0.73418546  0.66206855 -0.46488607 -0.8938679
 -0.7412644  -0.59126693]"
72,"[-0.38515237 -0.21238281  1.5317752  -0.37972575 -1.6415373   0.30566168
 -0.6979991   1.7005602  -0.35997683  0.13877657  1.0761503   1.857693
 -0.8597488  -0.75004697  0.8110763   0.65663904 -0.53965    -0.85647136
 -0.72471905 -0.6709226 ]"
73,"[-0.2095254  -0.22353768  1.0459528  -0.9837831  -1.1685463  -0.49010393
  0.18955389  1.3196578  -1.0293647   1.5496972   0.8933671   1.9494864
 -0.8114453  -0.7050596   0.8146476   0.717859   -0.60299367 -0.82002234
 -0.7149739  -0.7208659 ]"
74,"[-0.19994251 -0.22838731  1.1480604  -0.95427215 -1.2734758  -0.39281884
  0.08735696  1.5002822  -0.98261493  1.2958117   1.1929322   1.7529994
 -0.9521493  -0.81354403  0.7035228   0.7129698  -0.38288644 -0.9576863
 -0.827405   -0.42875364]"
75,"[-0.2394904  -0.21858369  1.0807595  -0.9258914  -1.173325   -0.5079295
  0.14869224  1.2725767  -1.0288837   1.5920753   1.0749234   1.9079247
 -0.8351529  -0.6672502   0.76372445  0.62101924 -0.55813247 -0.83741343
 -0.7314295  -0.7382127 ]"
76,"[-0.13001643 -0.22017802  0.90083325 -0.85463077 -1.3819895   0.5398723
  0.04532945  0.6561132  -1.3040951   1.7487602   1.2623578   1.7635368
 -0.93510765 -0.71621644  0.7402693   0.5783391  -0.29493412 -0.9198406
 -0.7564061  -0.721998  ]"
77,"[-0.5292989  -0.16162933  1.3789077  -0.77017766 -0.9199773  -0.8639764
 -0.42485023  1.9049513   0.794062   -0.40801156  1.2818447   1.7775242
 -0.9748002  -0.66100144  0.6561572   0.6046364  -0.32528487 -0.92367524
 -0.82911015 -0.6062896 ]"
78,"[-0.16402668 -0.22459093  1.0944595  -0.9457177  -1.260278   -0.28564104
  0.13848794  1.2257001  -1.1215146   1.5431217  -1.0055156  -0.8620483
  1.4459376   1.0698056  -1.0282556  -1.0308774  -0.08170163  1.369778
  0.05607691  0.06680027]"
79,"[-0.22013672 -0.21827176  1.1417199  -0.94884056 -1.1623089  -0.54806054
  0.15491417  1.3679825  -1.0203542   1.4533563   1.1812698   1.7857543
 -0.9085304  -0.76892287  0.7569165   0.66886044 -0.4302317  -0.9143432
 -0.7804781  -0.5902941 ]"
80,"[-0.29402414 -0.21716626  1.259615   -0.8842483  -1.1434419  -0.96235305
  0.02869053  1.5945224  -0.5653665   1.183772    1.0912527   1.8434364
 -0.8957711  -0.6641831   0.7967132   0.66068107 -0.45843342 -0.85499644
 -0.73010373 -0.7885953 ]"
81,"[-0.13244542 -0.24019131  0.87661463 -0.97985387 -1.2920467   0.04773692
  0.19281213  0.9359755  -1.1936687   1.7850671   1.1288476   1.850841
 -0.8794511  -0.70946944  0.74807304  0.65174836 -0.46468276 -0.8819596
 -0.7583499  -0.68559617]"
82,"[-0.24673317 -0.23877758  0.9052352  -1.0871129  -1.7491022   0.45924965
 -0.17647888  1.0095485  -0.41984072  1.5440128   1.2344611   1.7400992
 -0.8846402  -0.6535339   0.8033937   0.6506024  -0.4867916  -0.8683205
 -0.756087   -0.7791832 ]"
83,"[-0.22133483 -0.22125515  1.0194991  -0.97330034 -1.1701007  -0.61855024
  0.18253796  1.2244523  -0.9010009   1.6790531   0.79129934  2.00217
 -0.8244759  -0.6807277   0.8059649   0.7418005  -0.6804404  -0.8004685
 -0.6883611  -0.66676164]"
